,day,month,year,weekday,workingday,holiday,weathersit,temp,hum,windspeed,casual,registered,cnt
0,1,January,2018,Monday,0,1,2,14.110847,80.5833,10.749882,331,654,985
1,1,February,2018,Thursday,1,0,2,14.902598,69.6087,16.652113,131,670,801
2,1,March,2018,Thursday,1,0,1,8.050924,43.7273,16.636703,120,1229,1349
3,1,April,2018,Sunday,0,0,1,8.2,59.0435,10.739832,108,1454,1562
4,1,May,2018,Tuesday,1,0,1,9.305237,43.6957,12.5223,82,1518,1600
5,1,June,2018,Friday,1,0,1,8.378268,51.8261,6.0008684,88,1518,1606
6,1,July,2018,Sunday,0,0,2,8.057402,49.8696,11.304642,148,1362,1510
7,1,August,2018,Wednesday,1,0,2,6.765,53.5833,17.875868,68,891,959
8,1,September,2018,Saturday,0,0,1,5.671653,43.4167,24.25065,54,768,822
9,1,October,2018,Monday,1,0,1,6.184153,48.2917,14.958889,41,1280,1321
10,1,November,2018,Thursday,1,0,2,6.932731,68.6364,8.182844,43,1220,1263
11,1,December,2018,Saturday,0,0,1,7.081807,59.9545,20.410009,25,1137,1162
12,13,January,2018,Saturday,0,0,1,6.765,47.0417,20.167,38,1368,1406
13,14,January,2018,Sunday,0,0,1,6.59567,53.7826,8.478716,54,1367,1421
14,15,January,2018,Monday,0,1,2,9.566653,49.875,10.583521,222,1026,1248
15,16,January,2018,Tuesday,1,0,1,9.498347,48.375,12.625011,251,953,1204
16,17,January,2018,Wednesday,1,0,2,7.209153,53.75,12.999139,117,883,1000
17,18,January,2018,Thursday,1,0,2,8.883347,86.1667,9.833925,9,674,683
18,19,January,2018,Friday,1,0,2,11.979134,74.1739,13.957239,78,1572,1650
19,20,January,2018,Saturday,0,0,2,10.728347,53.8333,13.125568,83,1844,1927
20,21,January,2018,Sunday,0,0,1,7.2775,45.7083,23.667214,75,1468,1543
21,22,January,2018,Monday,1,0,1,2.4243464,40.0,11.52199,93,888,981
22,23,January,2018,Tuesday,1,0,1,3.9573897,43.6522,16.5222,150,836,986
23,24,January,2018,Wednesday,1,0,1,3.9930433,49.1739,10.60811,86,1330,1416
24,25,January,2018,Thursday,1,0,2,9.162598,61.6957,8.696332,186,1799,1985
25,26,January,2018,Friday,1,0,3,8.9175,86.25,19.68795,34,472,506
26,27,January,2018,Saturday,0,0,1,7.995,68.75,7.627079,15,416,431
27,28,January,2018,Sunday,0,0,2,8.342598,79.3043,8.2611,38,1129,1167
28,29,January,2018,Monday,1,0,1,8.057402,65.1739,9.739455,123,975,1098
29,30,January,2018,Tuesday,1,0,1,8.877402,72.2174,4.9568342,140,956,1096
30,31,January,2018,Wednesday,1,0,2,7.414153,60.375,12.541864,42,1459,1501
31,2,January,2018,Tuesday,1,0,2,7.879134,82.9565,3.565271,47,1313,1360
32,2,February,2018,Friday,1,0,2,10.66,77.5417,17.708636,72,1454,1526
33,2,March,2018,Friday,1,0,1,7.665237,43.7826,18.609384,61,1489,1550
34,2,April,2018,Monday,1,0,2,8.663464,58.5217,8.565213,88,1620,1708
35,2,May,2018,Wednesday,1,0,2,9.566653,92.9167,10.792293,100,905,1005
36,2,June,2018,Saturday,0,0,1,11.719153,56.8333,9.5006,354,1269,1623
37,2,July,2018,Monday,1,0,1,11.138347,73.8333,3.0423561,120,1592,1712
